training_name,reference_date,location,horizon,WIS,MAE
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,31,3,0.2336066317013705,0.06453852113757108
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,32,0,0.16308612404740871,0.25335732991070636
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,32,1,0.18562732718449532,0.22884157242884773
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,32,2,0.20317846269175702,0.3364722366212125
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,32,3,0.15266706133957295,0.2097205309820689
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,33,0,0.3509789122512936,0.6592456288842639
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,33,1,0.21443277299186986,0.5007752879124893
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,33,2,0.47340818906467763,1.2237754316221157
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,33,3,0.557679930171112,1.540445040947149
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,34,0,0.06570905295210955,0.046280752564006544
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,34,1,0.0728852373657857,0.03936639018755406
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,34,2,0.08190879157522428,0.014706147389695445
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,34,3,0.08835267030278082,0.09736785091379074
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,35,0,0.49687873602378557,0.7524637577163646
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,35,1,0.20547862862753696,0.24620882424520585
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,35,2,0.30482684473305244,0.5653138090500607
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,35,3,0.23714698256236946,0.37320424588994316
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,36,0,0.11349565357066846,0.18232155679395445
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,36,1,0.13065535865611866,0.2221554089413158
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,36,2,0.3052710833411104,0.5128236264286641
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,36,3,0.3239301044001673,0.581650150081912
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,37,0,0.11249837258197276,0.21455980762281834
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,37,1,0.13440840064521362,0.2181274175430934
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,37,2,0.23757580649823878,0.403558529837583
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,37,3,0.12280840564801586,0.11325609266060654
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,38,0,0.20148298140982798,0.5306282510621704
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,38,1,0.2644221743078561,0.832909122935104
