,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"z[18, 2025-2026, MA]",0.035289241449412506,0.050637272962691694,-0.041495807871808836,0.11215411562689964,564.0461875119694,337.94080763888513,1.0050340906762179,0.0021482919154183176,0.001451421803820135
"z[18, 2025-2026, MI]",0.021689389417124626,0.050617191995870794,-0.05314028425209571,0.10834807757263822,573.7684637277183,284.5309428510529,1.0061875099408528,0.002086881430316833,0.0016933289413481557
"z[18, 2025-2026, MN]",0.0069556168120473326,0.05165156043949382,-0.07156626554114737,0.09515122527383454,539.2823288843997,301.40373654330347,1.0120230307090825,0.0022285875801486424,0.0015643647303120063
"z[18, 2025-2026, MS]",0.009841533348529836,0.057590221090444225,-0.0804328583005884,0.10143464527836539,655.169668989112,292.64633227036416,1.0046073299855474,0.0022469902038483253,0.0016933914647198427
"z[18, 2025-2026, MO]",0.016227384955714925,0.060711133163489264,-0.07601209770753997,0.1213540043357881,628.433941912624,360.58601877819603,1.0090300577999525,0.002504904481258629,0.0017512367287269251
"z[18, 2025-2026, MT]",0.009428941019629456,0.05794355484713558,-0.0831305739639901,0.0981782379025816,723.4063312864038,366.0178836397391,1.0027224162525836,0.0021524675803502105,0.00140993589916951
"z[18, 2025-2026, NE]",0.0097700340046551,0.06068710879450118,-0.08912546226199847,0.10621062694046092,720.4149171751518,350.67466923683537,1.0050927494061945,0.0022537096724190345,0.0014711495130007577
"z[18, 2025-2026, NV]",0.0,0.0,0.0,0.0,400.0,400.0,,0.0,
"z[18, 2025-2026, NH]",-0.025230227726668688,0.05193393266901726,-0.11065250449547101,0.06053434142770352,698.8188111966547,338.7072191001572,1.023114865759653,0.0019621946156102577,0.0013237102219114203
"z[18, 2025-2026, NJ]",-0.04969743424665658,0.05729542651149716,-0.13655115859468436,0.04035857410086095,768.0529873065797,347.8427351805343,1.0257056619297182,0.0020686288665589117,0.0014997624163045108
"z[18, 2025-2026, NM]",-0.05603042580514733,0.058041523280650424,-0.1482291615745667,0.03801765390813366,837.2553468686127,398.97304236200245,1.01979540047608,0.002007614118903328,0.0014427323533473025
"z[18, 2025-2026, NY]",-0.04291121880365743,0.05278093746604124,-0.12480354100565115,0.0396836076290835,818.2779082556467,380.9053095723359,0.9978224184029663,0.0018324337305567302,0.00147026852143628
"z[18, 2025-2026, NC]",-0.013281438493832612,0.05583413424083827,-0.09976699707789315,0.0729393434711882,887.3639473565311,387.94018868488246,1.0069935772903353,0.0018520723285045718,0.0011769646366312635
"z[18, 2025-2026, ND]",0.019147305150174754,0.05632993590865263,-0.08145158125988879,0.106364878421877,1040.823996531185,320.92060183129485,1.0056365417020354,0.0017482122403706926,0.0011800475734657363
"z[18, 2025-2026, OH]",0.03510824770788551,0.06192213146557142,-0.06074415357204346,0.13618821365323622,920.6979362305132,268.93968947491624,1.0136319900471356,0.0020575796649743346,0.0013928346005536883
"z[18, 2025-2026, OK]",0.0272819486692892,0.06016186160394884,-0.0726348985007466,0.11989266482145973,1040.823996531185,425.13037219550745,1.0154891023386337,0.0018671369168619138,0.0014337519518015293
